candidate_id,stage,stage_date,recruiter
C20021,screening,2025-05-19 03:34:20.572993,L. Torres
C20021,interview_tech,2025-05-26 03:34:20.572993,L. Torres
C20022,applied,2025-04-09 03:34:20.572993,L. Torres
C20022,screening,2025-04-11 03:34:20.572993,L. Torres
C20023,applied,2025-04-27 03:34:20.572993,L. Torres
C20023,screening,2025-04-28 03:34:20.572993,L. Torres
C20024,applied,2025-05-09 03:34:20.572993,L. Torres
C20024,screening,2025-05-13 03:34:20.572993,L. Torres
C20025,applied,2025-04-18 03:34:20.572993,L. Torres
C20025,screening,2025-04-23 03:34:20.572993,L. Torres
C20025,interview_tech,2025-04-28 03:34:20.572993,L. Torres
C20025,interview_mgr,2025-05-04 03:34:20.572993,L. Torres
C20026,applied,2025-05-12 03:34:20.572993,L. Torres
C20026,screening,2025-05-16 03:34:20.572993,L. Torres
C20026,interview_tech,2025-05-24 03:34:20.572993,L. Torres
C20026,interview_mgr,2025-05-31 03:34:20.572993,L. Torres
C20027,applied,2025-09-06 03:34:20.572993,F. Aguirre
C20027,screening,2025-09-11 03:34:20.572993,F. Aguirre
C20028,applied,2025-09-03 03:34:20.572993,F. Aguirre
C20028,screening,2025-09-08 03:34:20.572993,F. Aguirre
C20029,applied,2025-09-06 03:34:20.572993,F. Aguirre
C20029,screening,2025-09-12 03:34:20.572993,F. Aguirre
C20029,interview_tech,2025-09-17 03:34:20.572993,F. Aguirre
C20030,applied,2025-09-11 03:34:20.572993,F. Aguirre
C20030,screening,2025-09-23 03:34:20.572993,F. Aguirre
C20030,interview_tech,2025-09-28 03:34:20.572993,F. Aguirre
C20031,applied,2025-08-05 03:34:20.572993,F. Aguirre
C20032,applied,2025-08-31 03:34:20.572993,F. Aguirre
C20032,screening,2025-09-01 03:34:20.572993,F. Aguirre
C20033,applied,2025-08-10 03:34:20.572993,F. Aguirre
C20033,screening,2025-08-15 03:34:20.572993,F. Aguirre
C20033,interview_tech,2025-08-20 03:34:20.572993,F. Aguirre
C20034,applied,2025-08-29 03:34:20.572993,F. Aguirre
C20034,screening,2025-09-04 03:34:20.572993,F. Aguirre
C20035,applied,2025-09-04 03:34:20.572993,F. Aguirre
C20035,screening,2025-09-09 03:34:20.572993,F. Aguirre
C20036,applied,2025-09-08 03:34:20.572993,F. Aguirre
C20037,applied,2025-09-06 03:34:20.572993,F. Aguirre
C20038,applied,2025-08-11 03:34:20.572993,F. Aguirre
C20038,screening,2025-08-12 03:34:20.572993,F. Aguirre
C20039,applied,2025-09-09 03:34:20.572993,F. Aguirre
C20039,screening,2025-09-13 03:34:20.572993,F. Aguirre
C20040,applied,2024-03-06 03:34:20.572993,L. Torres
C20040,screening,2024-03-07 03:34:20.572993,L. Torres
C20041,applied,2024-03-03 03:34:20.572993,L. Torres
C20041,screening,2024-03-12 03:34:20.572993,L. Torres
C20042,applied,2024-02-16 03:34:20.572993,L. Torres
C20042,screening,2024-02-25 03:34:20.572993,L. Torres
C20043,applied,2024-02-22 03:34:20.572993,L. Torres
C20043,screening,2024-02-27 03:34:20.572993,L. Torres
C20043,interview_tech,2024-03-07 03:34:20.572993,L. Torres
C20043,interview_mgr,2024-03-11 03:34:20.572993,L. Torres
C20044,applied,2024-03-08 03:34:20.572993,L. Torres
C20044,screening,2024-03-11 03:34:20.572993,L. Torres
C20045,applied,2024-02-19 03:34:20.572993,L. Torres
C20045,screening,2024-02-22 03:34:20.572993,L. Torres
C20045,interview_tech,2024-02-25 03:34:20.572993,L. Torres
C20046,applied,2024-03-01 03:34:20.572993,L. Torres
C20046,screening,2024-03-10 03:34:20.572993,L. Torres
C20047,applied,2024-02-08 03:34:20.572993,L. Torres
C20047,screening,2024-02-15 03:34:20.572993,L. Torres
C20047,interview_tech,2024-02-25 03:34:20.572993,L. Torres
C20048,applied,2024-03-07 03:34:20.572993,L. Torres
C20048,screening,2024-03-11 03:34:20.572993,L. Torres
C20049,applied,2024-02-07 03:34:20.572993,L. Torres
C20049,screening,2024-02-10 03:34:20.572993,L. Torres
C20050,applied,2024-03-03 03:34:20.572993,L. Torres
C20050,screening,2024-03-09 03:34:20.572993,L. Torres
C20050,interview_tech,2024-03-15 03:34:20.572993,L. Torres
C20050,interview_mgr,2024-03-24 03:34:20.572993,L. Torres
C20050,offer,2024-03-29 03:34:20.572993,L. Torres
C20050,decision,2024-04-05 03:34:20.572993,L. Torres
C20051,applied,2024-02-17 03:34:20.572993,L. Torres
C20052,applied,2024-09-03 03:34:20.572993,L. Torres
C20052,screening,2024-09-07 03:34:20.572993,L. Torres
C20052,interview_tech,2024-09-12 03:34:20.572993,L. Torres
C20053,applied,2024-09-22 03:34:20.572993,L. Torres
C20053,screening,2024-09-24 03:34:20.572993,L. Torres
C20053,interview_tech,2024-09-27 03:34:20.572993,L. Torres
C20053,interview_mgr,2024-10-07 03:34:20.572993,L. Torres
C20054,applied,2024-09-22 03:34:20.572993,L. Torres
C20055,applied,2024-09-18 03:34:20.572993,L. Torres
C20055,screening,2024-09-23 03:34:20.572993,L. Torres
C20056,applied,2024-08-28 03:34:20.572993,L. Torres
C20056,screening,2024-08-30 03:34:20.572993,L. Torres
C20057,applied,2024-08-27 03:34:20.572993,L. Torres
C20057,screening,2024-08-29 03:34:20.572993,L. Torres
C20058,applied,2024-09-19 03:34:20.572993,L. Torres
C20058,screening,2024-09-21 03:34:20.572993,L. Torres
C20059,applied,2024-09-01 03:34:20.572993,L. Torres
C20059,screening,2024-09-04 03:34:20.572993,L. Torres
C20060,applied,2024-09-26 03:34:20.572993,L. Torres
C20060,screening,2024-10-03 03:34:20.572993,L. Torres
C20061,applied,2024-08-19 03:34:20.572993,L. Torres
C20061,screening,2024-08-23 03:34:20.572993,L. Torres
C20062,applied,2024-08-31 03:34:20.572993,L. Torres
C20062,screening,2024-09-06 03:34:20.572993,L. Torres
C20062,interview_tech,2024-09-10 03:34:20.572993,L. Torres
C20062,interview_mgr,2024-09-13 03:34:20.572993,L. Torres
C20063,applied,2024-09-26 03:34:20.572993,L. Torres
C20063,screening,2024-10-03 03:34:20.572993,L. Torres
C20064,applied,2024-09-21 03:34:20.572993,L. Torres
C20064,screening,2024-09-24 03:34:20.572993,L. Torres
C20065,applied,2024-08-29 03:34:20.572993,L. Torres
C20065,screening,2024-09-03 03:34:20.572993,L. Torres
C20066,applied,2024-11-05 03:34:20.572993,J. Medina
C20067,applied,2024-11-12 03:34:20.572993,J. Medina
C20068,applied,2024-12-04 03:34:20.572993,J. Medina
C20068,screening,2024-12-08 03:34:20.572993,J. Medina
C20069,applied,2024-11-20 03:34:20.572993,J. Medina
C20069,screening,2024-11-24 03:34:20.572993,J. Medina
C20070,applied,2024-11-19 03:34:20.572993,J. Medina
C20071,applied,2024-12-05 03:34:20.572993,J. Medina
C20072,applied,2024-11-13 03:34:20.572993,J. Medina
C20073,applied,2024-11-21 03:34:20.572993,J. Medina
C20074,applied,2024-12-04 03:34:20.572993,J. Medina
C20074,screening,2024-12-09 03:34:20.572993,J. Medina
C20075,applied,2023-12-10 03:34:20.572993,E. Sánchez
C20076,applied,2023-11-29 03:34:20.572993,E. Sánchez
C20076,screening,2023-11-30 03:34:20.572993,E. Sánchez
C20077,applied,2023-11-30 03:34:20.572993,E. Sánchez
C20077,screening,2023-12-07 03:34:20.572993,E. Sánchez
C20077,interview_tech,2023-12-14 03:34:20.572993,E. Sánchez
C20078,applied,2023-12-21 03:34:20.572993,E. Sánchez
C20079,applied,2023-12-18 03:34:20.572993,E. Sánchez
C20080,applied,2023-12-13 03:34:20.572993,E. Sánchez
C20080,screening,2023-12-18 03:34:20.572993,E. Sánchez
C20080,interview_tech,2023-12-24 03:34:20.572993,E. Sánchez
C20081,applied,2023-12-16 03:34:20.572993,E. Sánchez
C20081,screening,2023-12-23 03:34:20.572993,E. Sánchez
C20081,interview_tech,2023-12-25 03:34:20.572993,E. Sánchez
C20082,applied,2023-12-14 03:34:20.572993,E. Sánchez
C20083,applied,2023-12-26 03:34:20.572993,E. Sánchez
C20083,screening,2023-12-30 03:34:20.572993,E. Sánchez
C20084,applied,2023-12-18 03:34:20.572993,E. Sánchez
C20084,screening,2023-12-27 03:34:20.572993,E. Sánchez
C20084,interview_tech,2024-01-07 03:34:20.572993,E. Sánchez
C20085,applied,2023-12-17 03:34:20.572993,E. Sánchez
C20086,applied,2024-01-04 03:34:20.572993,E. Sánchez
C20086,screening,2024-01-09 03:34:20.572993,E. Sánchez
C20087,applied,2023-12-01 03:34:20.572993,E. Sánchez
C20088,applied,2024-06-15 03:34:20.572993,F. Aguirre
C20089,applied,2024-06-23 03:34:20.572993,F. Aguirre
C20090,applied,2024-06-18 03:34:20.572993,F. Aguirre
C20090,screening,2024-06-25 03:34:20.572993,F. Aguirre
C20090,interview_tech,2024-06-27 03:34:20.572993,F. Aguirre
C20091,applied,2024-06-15 03:34:20.572993,F. Aguirre
C20092,applied,2024-06-18 03:34:20.572993,F. Aguirre
C20092,screening,2024-06-30 03:34:20.572993,F. Aguirre
C20093,applied,2024-06-26 03:34:20.572993,F. Aguirre
C20093,screening,2024-06-29 03:34:20.572993,F. Aguirre
C20094,applied,2024-06-27 03:34:20.572993,F. Aguirre
C20094,screening,2024-07-01 03:34:20.572993,F. Aguirre
C20094,interview_tech,2024-07-07 03:34:20.572993,F. Aguirre
C20094,interview_mgr,2024-07-13 03:34:20.572993,F. Aguirre
C20095,applied,2024-06-23 03:34:20.572993,F. Aguirre
C20096,applied,2024-07-16 03:34:20.572993,F. Aguirre
C20096,screening,2024-07-25 03:34:20.572993,F. Aguirre
C20097,applied,2024-07-11 03:34:20.572993,F. Aguirre
C20098,applied,2024-06-13 03:34:20.572993,F. Aguirre
C20098,screening,2024-06-20 03:34:20.572993,F. Aguirre
C20098,interview_tech,2024-06-24 03:34:20.572993,F. Aguirre
C20099,applied,2024-07-03 03:34:20.572993,F. Aguirre
C20099,screening,2024-07-04 03:34:20.572993,F. Aguirre
C20099,interview_tech,2024-07-09 03:34:20.572993,F. Aguirre
C20099,interview_mgr,2024-07-16 03:34:20.572993,F. Aguirre
C20100,applied,2024-06-22 03:34:20.572993,F. Aguirre
C20100,screening,2024-06-23 03:34:20.572993,F. Aguirre
C20100,interview_tech,2024-06-30 03:34:20.572993,F. Aguirre
C20100,interview_mgr,2024-07-05 03:34:20.572993,F. Aguirre
C20101,applied,2024-05-01 03:34:20.572993,F. Aguirre
C20101,screening,2024-05-08 03:34:20.572993,F. Aguirre
C20102,applied,2024-05-25 03:34:20.572993,F. Aguirre
C20102,screening,2024-05-31 03:34:20.572993,F. Aguirre
C20103,applied,2024-05-05 03:34:20.572993,F. Aguirre
C20103,screening,2024-05-10 03:34:20.572993,F. Aguirre
C20104,applied,2024-05-15 03:34:20.572993,F. Aguirre
C20104,screening,2024-05-16 03:34:20.572993,F. Aguirre
C20105,applied,2024-05-03 03:34:20.572993,F. Aguirre
C20106,applied,2024-05-26 03:34:20.572993,F. Aguirre
C20106,screening,2024-06-03 03:34:20.572993,F. Aguirre
C20107,applied,2024-05-02 03:34:20.572993,F. Aguirre
C20107,screening,2024-05-06 03:34:20.572993,F. Aguirre
C20108,applied,2024-04-19 03:34:20.572993,F. Aguirre
C20108,screening,2024-04-20 03:34:20.572993,F. Aguirre
C20109,applied,2024-05-04 03:34:20.572993,F. Aguirre
C20109,screening,2024-05-05 03:34:20.572993,F. Aguirre
C20109,interview_tech,2024-05-10 03:34:20.572993,F. Aguirre
C20110,applied,2024-05-19 03:34:20.572993,F. Aguirre
C20111,applied,2024-05-15 03:34:20.572993,F. Aguirre
C20111,screening,2024-05-16 03:34:20.572993,F. Aguirre
C20112,applied,2024-04-18 03:34:20.572993,F. Aguirre
C20113,applied,2023-12-15 03:34:20.572993,F. Aguirre
C20114,applied,2023-12-03 03:34:20.572993,F. Aguirre
C20114,screening,2023-12-04 03:34:20.572993,F. Aguirre
C20115,applied,2023-11-20 03:34:20.572993,F. Aguirre
C20115,screening,2023-11-21 03:34:20.572993,F. Aguirre
C20115,interview_tech,2023-11-24 03:34:20.572993,F. Aguirre
C20116,applied,2023-12-06 03:34:20.572993,F. Aguirre
C20116,screening,2023-12-14 03:34:20.572993,F. Aguirre
C20116,interview_tech,2023-12-18 03:34:20.572993,F. Aguirre
C20116,interview_mgr,2023-12-21 03:34:20.572993,F. Aguirre
C20117,applied,2023-12-09 03:34:20.572993,F. Aguirre
C20117,screening,2023-12-15 03:34:20.572993,F. Aguirre
C20118,applied,2023-12-21 03:34:20.572993,F. Aguirre
C20118,screening,2023-12-25 03:34:20.572993,F. Aguirre
C20119,applied,2023-12-09 03:34:20.572993,F. Aguirre
C20120,applied,2023-12-07 03:34:20.572993,F. Aguirre
C20120,screening,2023-12-13 03:34:20.572993,F. Aguirre
C20121,applied,2023-11-21 03:34:20.572993,F. Aguirre
C20122,applied,2023-12-20 03:34:20.572993,F. Aguirre
C20122,screening,2023-12-30 03:34:20.572993,F. Aguirre
C20123,applied,2023-12-17 03:34:20.572993,F. Aguirre
C20123,screening,2023-12-23 03:34:20.572993,F. Aguirre
C20123,interview_tech,2024-01-06 03:34:20.572993,F. Aguirre
C20124,applied,2023-12-06 03:34:20.572993,F. Aguirre
C20124,screening,2023-12-07 03:34:20.572993,F. Aguirre
C20125,applied,2023-12-24 03:34:20.572993,F. Aguirre
C20125,screening,2023-12-29 03:34:20.572993,F. Aguirre
C20126,applied,2023-12-26 03:34:20.572993,F. Aguirre
C20126,screening,2024-01-02 03:34:20.572993,F. Aguirre
C20126,interview_tech,2024-01-09 03:34:20.572993,F. Aguirre
C20127,applied,2024-06-28 03:34:20.572993,J. Medina
C20128,applied,2024-06-09 03:34:20.572993,J. Medina
C20128,screening,2024-06-16 03:34:20.572993,J. Medina
C20128,interview_tech,2024-06-20 03:34:20.572993,J. Medina
C20129,applied,2024-06-17 03:34:20.572993,J. Medina
C20129,screening,2024-06-22 03:34:20.572993,J. Medina
C20130,applied,2024-06-05 03:34:20.572993,J. Medina
C20130,screening,2024-06-06 03:34:20.572993,J. Medina
C20131,applied,2024-06-17 03:34:20.572993,J. Medina
C20132,applied,2024-06-18 03:34:20.572993,J. Medina
C20132,screening,2024-06-19 03:34:20.572993,J. Medina
C20132,interview_tech,2024-06-20 03:34:20.572993,J. Medina
C20133,applied,2024-07-05 03:34:20.572993,J. Medina
C20133,screening,2024-07-09 03:34:20.572993,J. Medina
C20133,interview_tech,2024-07-19 03:34:20.572993,J. Medina
C20134,applied,2024-06-26 03:34:20.572993,J. Medina
C20134,screening,2024-06-27 03:34:20.572993,J. Medina
C20135,applied,2024-07-11 03:34:20.572993,J. Medina
C20135,screening,2024-07-13 03:34:20.572993,J. Medina
C20135,interview_tech,2024-07-17 03:34:20.572993,J. Medina
C20136,applied,2024-06-15 03:34:20.572993,J. Medina
C20136,screening,2024-06-20 03:34:20.572993,J. Medina
C20137,applied,2024-06-19 03:34:20.572993,J. Medina
C20137,screening,2024-06-23 03:34:20.572993,J. Medina
C20137,interview_tech,2024-06-25 03:34:20.572993,J. Medina
C20138,applied,2024-05-31 03:34:20.572993,J. Medina
C20139,applied,2024-06-06 03:34:20.572993,J. Medina
C20139,screening,2024-06-16 03:34:20.572993,J. Medina
C20140,applied,2024-07-07 03:34:20.572993,J. Medina
C20141,applied,2024-06-15 03:34:20.572993,J. Medina
C20141,screening,2024-06-17 03:34:20.572993,J. Medina
C20142,applied,2024-06-13 03:34:20.572993,J. Medina
C20142,screening,2024-06-18 03:34:20.572993,J. Medina
C20142,interview_tech,2024-06-23 03:34:20.572993,J. Medina
C20142,interview_mgr,2024-06-29 03:34:20.572993,J. Medina
C20143,applied,2024-09-01 03:34:20.572993,L. Torres
C20144,applied,2024-08-29 03:34:20.572993,L. Torres
C20145,applied,2024-09-10 03:34:20.572993,L. Torres
C20145,screening,2024-09-17 03:34:20.572993,L. Torres
C20145,interview_tech,2024-09-18 03:34:20.572993,L. Torres
C20145,interview_mgr,2024-09-21 03:34:20.572993,L. Torres
C20146,applied,2024-08-26 03:34:20.572993,L. Torres
C20146,screening,2024-08-31 03:34:20.572993,L. Torres
C20146,interview_tech,2024-09-06 03:34:20.572993,L. Torres
C20146,interview_mgr,2024-09-11 03:34:20.572993,L. Torres
C20147,applied,2024-09-12 03:34:20.572993,L. Torres
C20148,applied,2024-08-23 03:34:20.572993,L. Torres
C20148,screening,2024-08-28 03:34:20.572993,L. Torres
C20149,applied,2024-08-29 03:34:20.572993,L. Torres
C20149,screening,2024-09-01 03:34:20.572993,L. Torres
C20149,interview_tech,2024-09-04 03:34:20.572993,L. Torres
C20150,applied,2024-09-04 03:34:20.572993,L. Torres
C20150,screening,2024-09-07 03:34:20.572993,L. Torres
C20151,applied,2024-08-24 03:34:20.572993,L. Torres
C20152,applied,2025-03-02 03:34:20.572993,E. Sánchez
C20153,applied,2025-02-21 03:34:20.572993,E. Sánchez
C20154,applied,2025-03-06 03:34:20.572993,E. Sánchez
C20154,screening,2025-03-09 03:34:20.572993,E. Sánchez
C20154,interview_tech,2025-03-10 03:34:20.572993,E. Sánchez
C20155,applied,2025-03-21 03:34:20.572993,E. Sánchez
C20156,applied,2025-03-25 03:34:20.572993,E. Sánchez
C20156,screening,2025-03-26 03:34:20.572993,E. Sánchez
C20157,applied,2025-03-05 03:34:20.572993,E. Sánchez
C20158,applied,2025-03-15 03:34:20.572993,E. Sánchez
C20159,applied,2025-03-25 03:34:20.572993,E. Sánchez
C20159,screening,2025-03-26 03:34:20.572993,E. Sánchez
C20159,interview_tech,2025-03-30 03:34:20.572993,E. Sánchez
C20159,interview_mgr,2025-04-02 03:34:20.572993,E. Sánchez
C20160,applied,2025-02-27 03:34:20.572993,E. Sánchez
C20160,screening,2025-03-07 03:34:20.572993,E. Sánchez
C20161,applied,2025-03-11 03:34:20.572993,E. Sánchez
C20161,screening,2025-03-19 03:34:20.572993,E. Sánchez
C20161,interview_tech,2025-03-30 03:34:20.572993,E. Sánchez
C20161,interview_mgr,2025-04-04 03:34:20.572993,E. Sánchez
C20161,offer,2025-04-09 03:34:20.572993,E. Sánchez
C20162,applied,2025-03-26 03:34:20.572993,E. Sánchez
C20162,screening,2025-03-30 03:34:20.572993,E. Sánchez
C20163,applied,2025-02-25 03:34:20.572993,E. Sánchez
C20164,applied,2025-03-22 03:34:20.572993,E. Sánchez
C20165,applied,2025-03-31 03:34:20.572993,E. Sánchez
C20165,screening,2025-04-02 03:34:20.572993,E. Sánchez
C20165,interview_tech,2025-04-12 03:34:20.572993,E. Sánchez
C20165,interview_mgr,2025-04-19 03:34:20.572993,E. Sánchez
C20166,applied,2025-03-25 03:34:20.572993,E. Sánchez
C20166,screening,2025-03-27 03:34:20.572993,E. Sánchez
C20166,interview_tech,2025-04-05 03:34:20.572993,E. Sánchez
C20167,applied,2025-03-23 03:34:20.572993,E. Sánchez
C20168,applied,2025-03-01 03:34:20.572993,E. Sánchez
C20169,applied,2025-03-26 03:34:20.572993,E. Sánchez
C20169,screening,2025-04-01 03:34:20.572993,E. Sánchez
C20170,applied,2025-02-20 03:34:20.572993,E. Sánchez
C20170,screening,2025-02-26 03:34:20.572993,E. Sánchez
C20170,interview_tech,2025-02-27 03:34:20.572993,E. Sánchez
C20171,applied,2024-03-16 03:34:20.572993,G. Duarte
C20171,screening,2024-03-20 03:34:20.572993,G. Duarte
C20171,interview_tech,2024-03-24 03:34:20.572993,G. Duarte
C20172,applied,2024-04-05 03:34:20.572993,G. Duarte
C20172,screening,2024-04-12 03:34:20.572993,G. Duarte
C20172,interview_tech,2024-04-15 03:34:20.572993,G. Duarte
C20173,applied,2024-03-31 03:34:20.572993,G. Duarte
C20174,applied,2024-03-29 03:34:20.572993,G. Duarte
C20174,screening,2024-03-30 03:34:20.572993,G. Duarte
C20175,applied,2024-03-30 03:34:20.572993,G. Duarte
C20176,applied,2024-04-15 03:34:20.572993,G. Duarte
C20176,screening,2024-04-19 03:34:20.572993,G. Duarte
C20177,applied,2024-04-07 03:34:20.572993,G. Duarte
C20177,screening,2024-04-09 03:34:20.572993,G. Duarte
C20177,interview_tech,2024-04-11 03:34:20.572993,G. Duarte
C20178,applied,2024-03-14 03:34:20.572993,G. Duarte
C20178,screening,2024-03-22 03:34:20.572993,G. Duarte
C20179,applied,2024-04-11 03:34:20.572993,G. Duarte
C20180,applied,2024-03-27 03:34:20.572993,G. Duarte
C20180,screening,2024-03-30 03:34:20.572993,G. Duarte
C20180,interview_tech,2024-04-04 03:34:20.572993,G. Duarte
C20180,interview_mgr,2024-04-14 03:34:20.572993,G. Duarte
C20181,applied,2024-03-31 03:34:20.572993,G. Duarte
C20181,screening,2024-04-07 03:34:20.572993,G. Duarte
C20181,interview_tech,2024-04-08 03:34:20.572993,G. Duarte
C20182,applied,2024-03-17 03:34:20.572993,G. Duarte
C20182,screening,2024-03-23 03:34:20.572993,G. Duarte
C20183,applied,2024-09-02 03:34:20.572993,L. Torres
C20183,screening,2024-09-07 03:34:20.572993,L. Torres
C20183,interview_tech,2024-09-08 03:34:20.572993,L. Torres
C20183,interview_mgr,2024-09-11 03:34:20.572993,L. Torres
C20184,applied,2024-09-22 03:34:20.572993,L. Torres
C20184,screening,2024-09-29 03:34:20.572993,L. Torres
C20184,interview_tech,2024-10-09 03:34:20.572993,L. Torres
C20185,applied,2024-09-08 03:34:20.572993,L. Torres
C20185,screening,2024-09-11 03:34:20.572993,L. Torres
C20185,interview_tech,2024-09-13 03:34:20.572993,L. Torres
C20186,applied,2024-09-13 03:34:20.572993,L. Torres
C20186,screening,2024-09-19 03:34:20.572993,L. Torres
C20187,applied,2024-08-25 03:34:20.572993,L. Torres
C20187,screening,2024-08-28 03:34:20.572993,L. Torres
C20187,interview_tech,2024-09-02 03:34:20.572993,L. Torres
C20188,applied,2024-08-12 03:34:20.572993,L. Torres
C20188,screening,2024-08-18 03:34:20.572993,L. Torres
C20188,interview_tech,2024-08-21 03:34:20.572993,L. Torres
C20189,applied,2024-08-27 03:34:20.572993,L. Torres
C20189,screening,2024-09-04 03:34:20.572993,L. Torres
C20190,applied,2024-08-23 03:34:20.572993,L. Torres
C20190,screening,2024-08-29 03:34:20.572993,L. Torres
C20190,interview_tech,2024-09-06 03:34:20.572993,L. Torres
C20191,applied,2024-08-15 03:34:20.572993,L. Torres
C20191,screening,2024-08-22 03:34:20.572993,L. Torres
C20191,interview_tech,2024-08-25 03:34:20.572993,L. Torres
C20192,applied,2024-09-22 03:34:20.572993,L. Torres
C20192,screening,2024-09-23 03:34:20.572993,L. Torres
C20192,interview_tech,2024-10-01 03:34:20.572993,L. Torres
C20193,applied,2024-08-30 03:34:20.572993,L. Torres
C20193,screening,2024-09-07 03:34:20.572993,L. Torres
C20194,applied,2024-08-28 03:34:20.572993,L. Torres
C20194,screening,2024-09-03 03:34:20.572993,L. Torres
C20195,applied,2024-08-24 03:34:20.572993,L. Torres
C20195,screening,2024-08-27 03:34:20.572993,L. Torres
C20196,applied,2024-08-17 03:34:20.572993,L. Torres
C20197,applied,2024-09-05 03:34:20.572993,L. Torres
C20198,applied,2024-05-16 03:34:20.572993,J. Medina
C20199,applied,2024-04-23 03:34:20.572993,J. Medina
C20199,screening,2024-04-30 03:34:20.572993,J. Medina
C20200,applied,2024-06-03 03:34:20.572993,J. Medina
C20200,screening,2024-06-05 03:34:20.572993,J. Medina
C20201,applied,2024-05-18 03:34:20.572993,J. Medina
C20202,applied,2024-05-03 03:34:20.572993,J. Medina
C20202,screening,2024-05-10 03:34:20.572993,J. Medina
C20202,interview_tech,2024-05-13 03:34:20.572993,J. Medina
C20203,applied,2024-06-02 03:34:20.572993,J. Medina
C20203,screening,2024-06-05 03:34:20.572993,J. Medina
C20204,applied,2024-05-13 03:34:20.572993,J. Medina
C20204,screening,2024-05-16 03:34:20.572993,J. Medina
C20204,interview_tech,2024-05-22 03:34:20.572993,J. Medina
C20204,interview_mgr,2024-06-01 03:34:20.572993,J. Medina
C20205,applied,2024-05-19 03:34:20.572993,J. Medina
C20205,screening,2024-05-23 03:34:20.572993,J. Medina
C20206,applied,2024-05-29 03:34:20.572993,J. Medina
C20206,screening,2024-06-01 03:34:20.572993,J. Medina
C20207,applied,2024-05-24 03:34:20.572993,J. Medina
C20207,screening,2024-05-27 03:34:20.572993,J. Medina
C20208,applied,2024-05-31 03:34:20.572993,J. Medina
C20209,applied,2024-05-14 03:34:20.572993,J. Medina
C20209,screening,2024-05-21 03:34:20.572993,J. Medina
C20209,interview_tech,2024-05-24 03:34:20.572993,J. Medina
C20210,applied,2024-05-26 03:34:20.572993,J. Medina
C20210,screening,2024-05-27 03:34:20.572993,J. Medina
C20211,applied,2024-05-23 03:34:20.572993,J. Medina
C20211,screening,2024-05-26 03:34:20.572993,J. Medina
C20211,interview_tech,2024-06-03 03:34:20.572993,J. Medina
C20211,interview_mgr,2024-06-08 03:34:20.572993,J. Medina
C20212,applied,2025-03-08 03:34:20.572993,L. Torres
C20213,applied,2025-03-13 03:34:20.572993,L. Torres
C20213,screening,2025-03-18 03:34:20.572993,L. Torres
C20213,interview_tech,2025-03-26 03:34:20.572993,L. Torres
