id,job_id,source,experience_years,education,gender,applied_date,city,expected_salary
C20053,JR1004,Portal Empleo,3,Terciario,F,2024-09-17 03:34:20.572993,CABA,3982171
C20054,JR1004,Portal Empleo,6,Posgrado,F,2024-09-16 03:34:20.572993,GBA Norte,3839860
C20055,JR1004,LinkedIn,1,Posgrado,X,2024-09-15 03:34:20.572993,GBA Sur,4302211
C20056,JR1004,LinkedIn,3,Universitario,F,2024-08-23 03:34:20.572993,CABA,3554666
C20057,JR1004,LinkedIn,5,Bootcamp,F,2024-08-20 03:34:20.572993,GBA Sur,4108027
C20058,JR1004,Portal Empleo,3,Universitario,M,2024-09-14 03:34:20.572993,Rosario,3705072
C20059,JR1004,LinkedIn,3,Universitario,F,2024-08-27 03:34:20.572993,CABA,3866861
C20060,JR1004,Referido,4,Universitario,F,2024-09-20 03:34:20.572993,GBA Sur,4201208
C20061,JR1004,Orgánico,2,Universitario,F,2024-08-18 03:34:20.572993,GBA Sur,4045010
C20062,JR1004,Agencia,7,Bootcamp,F,2024-08-29 03:34:20.572993,GBA Sur,3884071
C20063,JR1004,Orgánico,1,Terciario,M,2024-09-22 03:34:20.572993,GBA Norte,3830683
C20064,JR1004,Universidades,5,Universitario,M,2024-09-18 03:34:20.572993,Córdoba,3514346
C20065,JR1004,LinkedIn,5,Posgrado,F,2024-08-28 03:34:20.572993,Córdoba,4260134
C20066,JR1005,Portal Empleo,2,Terciario,F,2024-11-04 03:34:20.572993,CABA,3051221
C20067,JR1005,LinkedIn,4,Terciario,F,2024-11-09 03:34:20.572993,GBA Sur,3140194
C20068,JR1005,Agencia,2,Universitario,F,2024-11-30 03:34:20.572993,CABA,3342103
C20069,JR1005,LinkedIn,7,Universitario,M,2024-11-18 03:34:20.572993,Córdoba,2951301
C20070,JR1005,Universidades,1,Terciario,F,2024-11-13 03:34:20.572993,Rosario,2759908
C20071,JR1005,Portal Empleo,2,Terciario,M,2024-11-27 03:34:20.572993,Córdoba,2859980
C20072,JR1005,Agencia,1,Terciario,M,2024-11-11 03:34:20.572993,CABA,2755009
C20073,JR1005,LinkedIn,1,Universitario,F,2024-11-20 03:34:20.572993,CABA,3423844
C20074,JR1005,LinkedIn,8,Universitario,F,2024-11-27 03:34:20.572993,Rosario,2914245
C20075,JR1006,Portal Empleo,5,Universitario,M,2023-12-02 03:34:20.572993,Córdoba,3430881
C20076,JR1006,LinkedIn,4,Universitario,M,2023-11-28 03:34:20.572993,GBA Sur,3580662
C20077,JR1006,Agencia,2,Bootcamp,M,2023-11-25 03:34:20.572993,Rosario,4668846
C20078,JR1006,LinkedIn,6,Posgrado,M,2023-12-18 03:34:20.572993,GBA Norte,4107459
C20079,JR1006,Portal Empleo,2,Bootcamp,M,2023-12-12 03:34:20.572993,Mendoza,4298637
C20080,JR1006,LinkedIn,6,Universitario,M,2023-12-11 03:34:20.572993,Córdoba,3618494
C20081,JR1006,Portal Empleo,2,Posgrado,M,2023-12-10 03:34:20.572993,CABA,4354821
C20082,JR1006,Portal Empleo,2,Posgrado,M,2023-12-06 03:34:20.572993,CABA,3621100
C20083,JR1006,LinkedIn,6,Universitario,F,2023-12-23 03:34:20.572993,CABA,3943182
C20084,JR1006,LinkedIn,6,Terciario,M,2023-12-15 03:34:20.572993,CABA,4111372
C20085,JR1006,LinkedIn,5,Universitario,F,2023-12-14 03:34:20.572993,GBA Norte,4025506
C20086,JR1006,Referido,1,Terciario,F,2023-12-27 03:34:20.572993,CABA,4079776
C20087,JR1006,Referido,3,Universitario,F,2023-11-22 03:34:20.572993,Rosario,3774703
C20088,JR1007,Portal Empleo,4,Universitario,F,2024-06-10 03:34:20.572993,CABA,3683315
C20089,JR1007,Referido,2,Universitario,M,2024-06-21 03:34:20.572993,CABA,3431678
C20090,JR1007,Referido,7,Bootcamp,M,2024-06-17 03:34:20.572993,Rosario,4153352
C20091,JR1007,LinkedIn,0,Universitario,F,2024-06-09 03:34:20.572993,CABA,3712248
C20092,JR1007,LinkedIn,2,Universitario,M,2024-06-14 03:34:20.572993,CABA,3440780
C20093,JR1007,LinkedIn,3,Universitario,M,2024-06-21 03:34:20.572993,CABA,4261607
C20094,JR1007,Universidades,0,Universitario,M,2024-06-24 03:34:20.572993,CABA,3608873
C20095,JR1007,Agencia,1,Universitario,F,2024-06-17 03:34:20.572993,CABA,3967208
C20096,JR1007,LinkedIn,6,Posgrado,M,2024-07-12 03:34:20.572993,GBA Norte,3597814
C20097,JR1007,Referido,4,Universitario,M,2024-07-04 03:34:20.572993,CABA,3770209
C20098,JR1007,Agencia,8,Universitario,M,2024-06-10 03:34:20.572993,Córdoba,3944880
C20099,JR1007,Referido,8,Universitario,F,2024-07-02 03:34:20.572993,CABA,3684435
C20100,JR1007,LinkedIn,5,Posgrado,F,2024-06-14 03:34:20.572993,CABA,3899078
C20101,JR1008,LinkedIn,5,Bootcamp,F,2024-04-22 03:34:20.572993,Córdoba,3839828
C20102,JR1008,Referido,4,Universitario,F,2024-05-18 03:34:20.572993,Córdoba,3268409
C20103,JR1008,Universidades,0,Universitario,M,2024-05-04 03:34:20.572993,CABA,3058010
C20104,JR1008,Portal Empleo,1,Universitario,M,2024-05-08 03:34:20.572993,CABA,3409302
C20105,JR1008,LinkedIn,4,Posgrado,M,2024-04-28 03:34:20.572993,CABA,3770834
C20106,JR1008,LinkedIn,6,Universitario,F,2024-05-18 03:34:20.572993,GBA Norte,3384977
C20107,JR1008,Agencia,5,Terciario,M,2024-05-01 03:34:20.572993,CABA,3844788
C20108,JR1008,Agencia,2,Universitario,F,2024-04-11 03:34:20.572993,CABA,3686527
C20109,JR1008,Portal Empleo,6,Universitario,F,2024-05-01 03:34:20.572993,Rosario,3704569
C20110,JR1008,Portal Empleo,8,Universitario,M,2024-05-14 03:34:20.572993,Rosario,3489900
C20111,JR1008,LinkedIn,6,Terciario,M,2024-05-13 03:34:20.572993,CABA,3350694
C20112,JR1008,Agencia,6,Terciario,M,2024-04-14 03:34:20.572993,CABA,3470086
C20113,JR1009,Agencia,3,Universitario,F,2023-12-11 03:34:20.572993,GBA Norte,3056528
C20114,JR1009,LinkedIn,7,Bootcamp,F,2023-12-02 03:34:20.572993,CABA,3050378
C20115,JR1009,Portal Empleo,4,Bootcamp,M,2023-11-17 03:34:20.572993,CABA,3076146
C20116,JR1009,LinkedIn,5,Universitario,X,2023-12-05 03:34:20.572993,CABA,2978186
C20117,JR1009,LinkedIn,5,Posgrado,F,2023-12-08 03:34:20.572993,CABA,2960677
C20118,JR1009,LinkedIn,4,Universitario,M,2023-12-10 03:34:20.572993,CABA,3317556
C20119,JR1009,LinkedIn,2,Universitario,F,2023-12-04 03:34:20.572993,GBA Sur,2832902
C20120,JR1009,LinkedIn,4,Terciario,F,2023-11-27 03:34:20.572993,CABA,3006143
C20121,JR1009,LinkedIn,6,Universitario,M,2023-11-20 03:34:20.572993,Rosario,3415337
C20122,JR1009,Referido,3,Bootcamp,M,2023-12-10 03:34:20.572993,Córdoba,3020222
C20123,JR1009,Referido,6,Posgrado,M,2023-12-14 03:34:20.572993,CABA,3260358
C20124,JR1009,LinkedIn,6,Universitario,M,2023-11-28 03:34:20.572993,CABA,2925833
C20125,JR1009,LinkedIn,3,Posgrado,M,2023-12-21 03:34:20.572993,Córdoba,2812072
C20126,JR1009,Portal Empleo,7,Bootcamp,F,2023-12-22 03:34:20.572993,CABA,3478555
C20127,JR1010,LinkedIn,3,Universitario,M,2024-06-21 03:34:20.572993,GBA Sur,4133301
C20128,JR1010,LinkedIn,8,Posgrado,X,2024-06-06 03:34:20.572993,CABA,4487742
C20129,JR1010,Agencia,5,Universitario,M,2024-06-10 03:34:20.572993,GBA Norte,5022964
C20130,JR1010,Portal Empleo,4,Posgrado,F,2024-06-02 03:34:20.572993,Rosario,4084648
C20131,JR1010,Agencia,2,Terciario,X,2024-06-11 03:34:20.572993,CABA,4709804
C20132,JR1010,Referido,4,Terciario,F,2024-06-16 03:34:20.572993,CABA,4667371
C20133,JR1010,LinkedIn,3,Universitario,M,2024-06-29 03:34:20.572993,CABA,4486704
C20134,JR1010,Portal Empleo,1,Terciario,F,2024-06-21 03:34:20.572993,CABA,5106475
C20135,JR1010,LinkedIn,3,Terciario,F,2024-07-01 03:34:20.572993,Córdoba,4577623
C20136,JR1010,Referido,2,Universitario,F,2024-06-14 03:34:20.572993,CABA,4525149
C20137,JR1010,LinkedIn,5,Posgrado,M,2024-06-08 03:34:20.572993,CABA,4191851
C20138,JR1010,Agencia,7,Universitario,M,2024-05-23 03:34:20.572993,CABA,4463627
C20139,JR1010,LinkedIn,1,Posgrado,M,2024-06-05 03:34:20.572993,CABA,4696448
C20140,JR1010,Orgánico,8,Posgrado,M,2024-06-30 03:34:20.572993,Mendoza,4780481
C20141,JR1010,Agencia,4,Universitario,M,2024-06-09 03:34:20.572993,GBA Norte,4734085
C20142,JR1010,Referido,2,Universitario,M,2024-06-07 03:34:20.572993,CABA,3907047
C20143,JR1011,Portal Empleo,6,Terciario,M,2024-08-28 03:34:20.572993,Mendoza,2663213
C20144,JR1011,Portal Empleo,3,Universitario,F,2024-08-27 03:34:20.572993,GBA Sur,2507417
C20145,JR1011,Agencia,4,Universitario,F,2024-09-01 03:34:20.572993,GBA Norte,2368360
C20146,JR1011,Referido,3,Terciario,M,2024-08-20 03:34:20.572993,CABA,2548546
C20147,JR1011,Agencia,2,Universitario,F,2024-09-08 03:34:20.572993,CABA,2581776
C20148,JR1011,Referido,6,Universitario,M,2024-08-20 03:34:20.572993,CABA,2473013
C20149,JR1011,Orgánico,3,Universitario,F,2024-08-24 03:34:20.572993,Córdoba,2676064
C20150,JR1011,Referido,0,Universitario,M,2024-08-29 03:34:20.572993,Córdoba,2824312
C20151,JR1011,Referido,5,Bootcamp,F,2024-08-21 03:34:20.572993,CABA,2772602
C20152,JR1012,Agencia,1,Terciario,M,2025-02-26 03:34:20.572993,Córdoba,2300151
C20153,JR1012,Agencia,1,Terciario,F,2025-02-19 03:34:20.572993,CABA,2534342
C20154,JR1012,Referido,7,Universitario,M,2025-03-02 03:34:20.572993,CABA,2263543
C20155,JR1012,LinkedIn,1,Terciario,M,2025-03-13 03:34:20.572993,CABA,2672364
C20156,JR1012,Referido,0,Posgrado,F,2025-03-23 03:34:20.572993,CABA,2418887
C20157,JR1012,Universidades,6,Universitario,F,2025-03-02 03:34:20.572993,Córdoba,2540730
C20158,JR1012,Portal Empleo,3,Universitario,M,2025-03-09 03:34:20.572993,GBA Norte,2294664
C20159,JR1012,Agencia,3,Universitario,M,2025-03-24 03:34:20.572993,CABA,2336760
C20160,JR1012,LinkedIn,3,Universitario,F,2025-02-25 03:34:20.572993,CABA,2399189
C20161,JR1012,Referido,5,Universitario,M,2025-03-07 03:34:20.572993,GBA Norte,2358958
C20162,JR1012,Portal Empleo,2,Terciario,F,2025-03-19 03:34:20.572993,GBA Sur,2308999
C20163,JR1012,Agencia,8,Terciario,F,2025-02-24 03:34:20.572993,CABA,2136623
C20164,JR1012,LinkedIn,0,Universitario,M,2025-03-18 03:34:20.572993,Mendoza,2269703
C20165,JR1012,Agencia,5,Terciario,F,2025-03-27 03:34:20.572993,CABA,2176297
C20166,JR1012,Referido,6,Posgrado,M,2025-03-18 03:34:20.572993,GBA Sur,2064778
C20167,JR1012,LinkedIn,2,Universitario,F,2025-03-15 03:34:20.572993,GBA Norte,2416846
C20168,JR1012,LinkedIn,1,Terciario,M,2025-02-26 03:34:20.572993,Rosario,2238980
C20169,JR1012,LinkedIn,7,Universitario,M,2025-03-23 03:34:20.572993,CABA,2607533
C20170,JR1012,Referido,2,Universitario,M,2025-02-19 03:34:20.572993,GBA Norte,2248255
C20171,JR1013,LinkedIn,2,Terciario,F,2024-03-15 03:34:20.572993,GBA Norte,4319309
C20172,JR1013,LinkedIn,6,Terciario,F,2024-03-30 03:34:20.572993,Rosario,5004137
C20173,JR1013,Agencia,4,Universitario,M,2024-03-29 03:34:20.572993,Córdoba,4841351
C20174,JR1013,LinkedIn,0,Universitario,F,2024-03-26 03:34:20.572993,CABA,4987217
C20175,JR1013,LinkedIn,8,Posgrado,F,2024-03-24 03:34:20.572993,Mendoza,4541343
C20176,JR1013,Referido,3,Posgrado,M,2024-04-03 03:34:20.572993,Córdoba,4047829
C20177,JR1013,Referido,3,Terciario,F,2024-03-31 03:34:20.572993,CABA,4855272
C20178,JR1013,Agencia,5,Terciario,M,2024-03-10 03:34:20.572993,CABA,4957783
C20179,JR1013,Referido,6,Universitario,M,2024-04-08 03:34:20.572993,Rosario,4528088
C20180,JR1013,Agencia,9,Posgrado,M,2024-03-26 03:34:20.572993,GBA Sur,5209047
C20181,JR1013,Portal Empleo,0,Bootcamp,M,2024-03-19 03:34:20.572993,CABA,4827646
C20182,JR1013,LinkedIn,6,Terciario,M,2024-03-08 03:34:20.572993,CABA,4638027
C20183,JR1014,LinkedIn,6,Universitario,F,2024-08-30 03:34:20.572993,CABA,3203378
C20184,JR1014,Referido,4,Universitario,F,2024-09-15 03:34:20.572993,CABA,2851777
C20185,JR1014,LinkedIn,6,Posgrado,M,2024-08-27 03:34:20.572993,Rosario,3089248
C20186,JR1014,Portal Empleo,6,Terciario,M,2024-09-10 03:34:20.572993,CABA,2743341
C20187,JR1014,Referido,1,Universitario,F,2024-08-17 03:34:20.572993,GBA Sur,3101647
C20188,JR1014,LinkedIn,8,Universitario,F,2024-08-08 03:34:20.572993,CABA,3103486
C20189,JR1014,LinkedIn,0,Terciario,M,2024-08-21 03:34:20.572993,GBA Norte,3110554
C20190,JR1014,LinkedIn,1,Universitario,M,2024-08-21 03:34:20.572993,CABA,3024244
C20191,JR1014,Referido,3,Terciario,F,2024-08-11 03:34:20.572993,CABA,2832063
C20192,JR1014,Referido,9,Universitario,M,2024-09-15 03:34:20.572993,Córdoba,3544863
C20193,JR1014,Referido,3,Universitario,M,2024-08-22 03:34:20.572993,Córdoba,2833927
C20194,JR1014,LinkedIn,4,Posgrado,M,2024-08-27 03:34:20.572993,CABA,2789414
C20195,JR1014,Portal Empleo,8,Universitario,F,2024-08-15 03:34:20.572993,GBA Sur,3037902
C20196,JR1014,Agencia,3,Terciario,F,2024-08-13 03:34:20.572993,CABA,3030042
C20197,JR1014,LinkedIn,1,Universitario,M,2024-09-02 03:34:20.572993,CABA,3107989
C20198,JR1015,Referido,3,Universitario,M,2024-05-07 03:34:20.572993,CABA,4418381
C20199,JR1015,Universidades,7,Universitario,M,2024-04-22 03:34:20.572993,GBA Norte,3865722
C20200,JR1015,LinkedIn,4,Universitario,M,2024-05-30 03:34:20.572993,CABA,4607780
C20201,JR1015,Referido,9,Universitario,F,2024-05-16 03:34:20.572993,Rosario,4074193
C20202,JR1015,LinkedIn,6,Universitario,M,2024-04-28 03:34:20.572993,GBA Norte,3673787
C20203,JR1015,Portal Empleo,2,Terciario,M,2024-05-30 03:34:20.572993,CABA,4327361
C20204,JR1015,LinkedIn,4,Universitario,M,2024-05-06 03:34:20.572993,Córdoba,4128718
C20205,JR1015,Orgánico,2,Universitario,M,2024-05-10 03:34:20.572993,CABA,4230189
C20206,JR1015,Portal Empleo,2,Posgrado,M,2024-05-22 03:34:20.572993,CABA,4461470
C20207,JR1015,Agencia,15,Universitario,M,2024-05-22 03:34:20.572993,CABA,4593406
C20208,JR1015,Portal Empleo,7,Terciario,M,2024-05-25 03:34:20.572993,CABA,3890616
C20209,JR1015,Referido,6,Universitario,M,2024-05-05 03:34:20.572993,CABA,3428736
C20210,JR1015,Referido,2,Universitario,F,2024-05-22 03:34:20.572993,CABA,4064789
C20211,JR1015,Agencia,8,Terciario,M,2024-05-20 03:34:20.572993,Córdoba,3989453
C20212,JR1016,Orgánico,7,Posgrado,M,2025-03-02 03:34:20.572993,CABA,1340652
C20213,JR1016,Referido,9,Universitario,M,2025-03-07 03:34:20.572993,GBA Norte,1199796
C20214,JR1016,Orgánico,9,Universitario,M,2025-02-13 03:34:20.572993,Rosario,1322668
C20215,JR1016,Referido,0,Bootcamp,M,2025-03-04 03:34:20.572993,GBA Sur,1284137
C20216,JR1016,Referido,1,Universitario,M,2025-02-27 03:34:20.572993,GBA Norte,1256342
C20217,JR1016,Referido,1,Universitario,F,2025-03-23 03:34:20.572993,Rosario,1184492
C20218,JR1016,LinkedIn,2,Terciario,M,2025-03-22 03:34:20.572993,CABA,1318558
C20219,JR1016,LinkedIn,5,Terciario,M,2025-03-19 03:34:20.572993,CABA,1487935
C20220,JR1016,LinkedIn,3,Universitario,M,2025-02-13 03:34:20.572993,Córdoba,1326869
C20221,JR1016,Referido,9,Universitario,X,2025-02-27 03:34:20.572993,CABA,1165378
C20222,JR1016,LinkedIn,9,Universitario,M,2025-03-12 03:34:20.572993,CABA,1537537
C20223,JR1016,Referido,4,Bootcamp,M,2025-02-18 03:34:20.572993,CABA,1176819
C20224,JR1016,Universidades,9,Universitario,F,2025-02-26 03:34:20.572993,Mendoza,1353760
C20225,JR1016,LinkedIn,8,Universitario,M,2025-03-06 03:34:20.572993,CABA,1298438
C20226,JR1016,Referido,3,Universitario,F,2025-02-16 03:34:20.572993,GBA Sur,1297883
C20227,JR1016,LinkedIn,0,Universitario,F,2025-02-12 03:34:20.572993,CABA,1305683
C20228,JR1016,LinkedIn,3,Universitario,M,2025-02-16 03:34:20.572993,Mendoza,1424013
C20229,JR1016,Agencia,2,Universitario,M,2025-02-24 03:34:20.572993,CABA,1354377
C20230,JR1016,Referido,5,Bootcamp,M,2025-03-09 03:34:20.572993,Rosario,1456933
C20231,JR1016,Agencia,4,Universitario,F,2025-02-24 03:34:20.572993,CABA,1611180
C20232,JR1016,LinkedIn,4,Universitario,M,2025-03-15 03:34:20.572993,CABA,1439683
C20233,JR1016,Referido,5,Universitario,M,2025-03-12 03:34:20.572993,Córdoba,1433456
C20234,JR1016,LinkedIn,1,Terciario,F,2025-03-01 03:34:20.572993,CABA,1332398
C20235,JR1017,LinkedIn,5,Posgrado,F,2024-02-24 03:34:20.572993,GBA Norte,4741812
C20236,JR1017,LinkedIn,3,Universitario,M,2024-03-20 03:34:20.572993,CABA,4530373
C20237,JR1017,LinkedIn,4,Universitario,M,2024-02-25 03:34:20.572993,CABA,4254922
C20238,JR1017,LinkedIn,6,Posgrado,F,2024-03-23 03:34:20.572993,Rosario,4454918
C20239,JR1017,LinkedIn,1,Posgrado,M,2024-03-03 03:34:20.572993,Mendoza,4288998
C20240,JR1017,Universidades,3,Universitario,M,2024-03-02 03:34:20.572993,Mendoza,4693699
C20241,JR1017,LinkedIn,4,Posgrado,F,2024-02-25 03:34:20.572993,Córdoba,3956308
C20242,JR1017,LinkedIn,3,Universitario,M,2024-03-15 03:34:20.572993,Rosario,4425883
C20243,JR1017,LinkedIn,6,Universitario,M,2024-03-31 03:34:20.572993,Rosario,4727297
C20244,JR1017,Referido,2,Terciario,F,2024-03-04 03:34:20.572993,CABA,4857670
C20245,JR1017,LinkedIn,3,Terciario,M,2024-02-28 03:34:20.572993,CABA,4359196
C20246,JR1017,Agencia,2,Terciario,M,2024-02-27 03:34:20.572993,CABA,4708661
C20247,JR1017,Universidades,7,Universitario,F,2024-03-23 03:34:20.572993,CABA,4837506
C20248,JR1017,LinkedIn,3,Terciario,M,2024-03-07 03:34:20.572993,Córdoba,4396507
C20249,JR1017,Referido,5,Universitario,F,2024-02-24 03:34:20.572993,Rosario,4934296
C20250,JR1018,LinkedIn,9,Universitario,F,2025-06-20 03:34:20.572993,CABA,1456665
C20251,JR1018,Portal Empleo,4,Universitario,F,2025-06-24 03:34:20.572993,CABA,1346109
C20252,JR1018,LinkedIn,7,Terciario,M,2025-05-26 03:34:20.572993,CABA,1411632
C20253,JR1018,LinkedIn,8,Universitario,F,2025-05-28 03:34:20.572993,Córdoba,1483179
C20254,JR1018,LinkedIn,7,Universitario,F,2025-06-08 03:34:20.572993,Rosario,1590322
C20255,JR1018,Portal Empleo,4,Universitario,F,2025-06-06 03:34:20.572993,CABA,1337956
C20256,JR1018,LinkedIn,6,Terciario,M,2025-06-22 03:34:20.572993,CABA,1501775
C20257,JR1018,LinkedIn,1,Bootcamp,M,2025-06-05 03:34:20.572993,GBA Sur,1675242
C20258,JR1018,Portal Empleo,2,Universitario,F,2025-05-25 03:34:20.572993,CABA,1459078
C20259,JR1018,Referido,2,Universitario,M,2025-05-31 03:34:20.572993,Córdoba,1552938
C20260,JR1018,Agencia,10,Universitario,M,2025-05-30 03:34:20.572993,CABA,1501711
C20261,JR1018,LinkedIn,2,Posgrado,M,2025-06-27 03:34:20.572993,Mendoza,1501548
C20262,JR1018,Agencia,2,Universitario,M,2025-06-11 03:34:20.572993,Rosario,1380213
C20263,JR1018,Portal Empleo,1,Bootcamp,F,2025-06-05 03:34:20.572993,GBA Sur,1362123
C20264,JR1018,LinkedIn,5,Universitario,M,2025-06-25 03:34:20.572993,GBA Sur,1511688
C20265,JR1019,Portal Empleo,4,Terciario,F,2024-08-29 03:34:20.572993,CABA,1936788
C20266,JR1019,Referido,7,Universitario,M,2024-08-20 03:34:20.572993,CABA,1931584
C20267,JR1019,Orgánico,6,Universitario,M,2024-09-11 03:34:20.572993,Rosario,1954581
C20268,JR1019,LinkedIn,1,Terciario,M,2024-09-21 03:34:20.572993,CABA,1927992
C20269,JR1019,Portal Empleo,2,Universitario,F,2024-09-02 03:34:20.572993,CABA,1831753
C20270,JR1019,LinkedIn,7,Posgrado,M,2024-08-30 03:34:20.572993,Córdoba,1760908
C20271,JR1019,Orgánico,3,Terciario,M,2024-09-10 03:34:20.572993,CABA,1989418
C20272,JR1019,LinkedIn,7,Universitario,F,2024-08-29 03:34:20.572993,Rosario,1762248
C20273,JR1019,Universidades,4,Universitario,F,2024-08-19 03:34:20.572993,CABA,1859784
C20274,JR1019,Orgánico,2,Universitario,F,2024-09-12 03:34:20.572993,GBA Sur,1575419
C20275,JR1019,LinkedIn,3,Terciario,F,2024-08-27 03:34:20.572993,CABA,2075893
C20276,JR1019,Agencia,2,Universitario,F,2024-09-05 03:34:20.572993,Córdoba,1794060
C20277,JR1019,Universidades,3,Terciario,M,2024-09-08 03:34:20.572993,GBA Norte,1587724
C20278,JR1019,LinkedIn,5,Universitario,M,2024-09-10 03:34:20.572993,GBA Norte,2055364
C20279,JR1019,Referido,5,Universitario,M,2024-09-12 03:34:20.572993,CABA,1852133
C20280,JR1020,Referido,0,Bootcamp,M,2025-10-01 03:34:20.572993,Rosario,2414655
