id,job_id_x,source,experience_years,education,gender,applied_date,city,expected_salary,employee_id,candidate_id,job_id_y,start_date,time_to_fill_days,time_to_hire_days,employee_id_perf,job_id,retained_90d,rating_6m
C20016,JR1001,LinkedIn,5,Terciario,M,2025-04-08 03:34:20.572993,Rosario,4769879,,,,,,,,,,0.0
C20017,JR1001,Portal Empleo,5,Posgrado,F,2025-04-28 03:34:20.572993,CABA,4104274,,,,,,,,,,0.0
C20018,JR1001,LinkedIn,4,Terciario,M,2025-04-08 03:34:20.572993,GBA Sur,3659170,,,,,,,,,,0.0
C20019,JR1001,LinkedIn,4,Universitario,M,2025-05-04 03:34:20.572993,Rosario,3874020,,,,,,,,,,0.0
C20020,JR1001,LinkedIn,0,Universitario,X,2025-04-22 03:34:20.572993,GBA Sur,3247379,,,,,,,,,,0.0
C20021,JR1001,LinkedIn,3,Posgrado,F,2025-05-07 03:34:20.572993,CABA,3701857,,,,,,,,,,0.0
C20022,JR1001,LinkedIn,4,Universitario,M,2025-04-05 03:34:20.572993,CABA,4077057,,,,,,,,,,0.0
C20023,JR1001,LinkedIn,2,Universitario,M,2025-04-20 03:34:20.572993,Rosario,4121743,,,,,,,,,,0.0
C20024,JR1001,Agencia,6,Bootcamp,X,2025-05-07 03:34:20.572993,CABA,3493518,,,,,,,,,,0.0
C20025,JR1001,LinkedIn,2,Terciario,M,2025-04-12 03:34:20.572993,GBA Norte,4173141,,,,,,,,,,0.0
C20026,JR1001,Referido,5,Universitario,M,2025-05-08 03:34:20.572993,GBA Norte,3909067,,,,,,,,,,0.0
C20027,JR1002,LinkedIn,4,Bootcamp,M,2025-08-30 03:34:20.572993,GBA Norte,2843060,,,,,,,,,,0.0
C20028,JR1002,Referido,6,Universitario,F,2025-08-26 03:34:20.572993,Rosario,3076354,,,,,,,,,,0.0
C20029,JR1002,Referido,6,Universitario,M,2025-08-30 03:34:20.572993,Rosario,2936776,,,,,,,,,,0.0
C20030,JR1002,LinkedIn,6,Terciario,M,2025-08-31 03:34:20.572993,CABA,2767220,,,,,,,,,,0.0
C20031,JR1002,LinkedIn,0,Terciario,M,2025-08-04 03:34:20.572993,GBA Norte,2692623,,,,,,,,,,0.0
C20032,JR1002,Portal Empleo,7,Terciario,M,2025-08-24 03:34:20.572993,GBA Norte,2571697,,,,,,,,,,0.0
C20033,JR1002,Agencia,8,Bootcamp,M,2025-08-01 03:34:20.572993,Rosario,2481072,,,,,,,,,,0.0
C20034,JR1002,LinkedIn,3,Bootcamp,M,2025-08-26 03:34:20.572993,CABA,2585352,,,,,,,,,,0.0
C20035,JR1002,LinkedIn,5,Universitario,M,2025-08-29 03:34:20.572993,Córdoba,2935194,,,,,,,,,,0.0
C20036,JR1002,Orgánico,2,Universitario,F,2025-09-07 03:34:20.572993,GBA Sur,2713089,,,,,,,,,,0.0
C20037,JR1002,LinkedIn,0,Terciario,M,2025-09-05 03:34:20.572993,Córdoba,2403062,,,,,,,,,,0.0
C20038,JR1002,Referido,2,Universitario,F,2025-08-09 03:34:20.572993,CABA,2638519,,,,,,,,,,0.0
C20039,JR1002,LinkedIn,3,Universitario,F,2025-09-01 03:34:20.572993,Córdoba,3027949,,,,,,,,,,0.0
C20040,JR1003,LinkedIn,3,Universitario,M,2024-02-27 03:34:20.572993,CABA,2866027,,,,,,,,,,0.0
C20041,JR1003,Referido,2,Posgrado,M,2024-03-01 03:34:20.572993,GBA Sur,2614048,,,,,,,,,,0.0
C20042,JR1003,Referido,2,Universitario,M,2024-02-08 03:34:20.572993,Córdoba,3016251,,,,,,,,,,0.0
C20043,JR1003,LinkedIn,4,Universitario,M,2024-02-14 03:34:20.572993,Córdoba,2982902,,,,,,,,,,0.0
C20044,JR1003,Referido,2,Posgrado,M,2024-03-01 03:34:20.572993,GBA Norte,2790727,,,,,,,,,,0.0
C20045,JR1003,Agencia,5,Universitario,F,2024-02-08 03:34:20.572993,CABA,3018275,,,,,,,,,,0.0
C20046,JR1003,Referido,6,Universitario,F,2024-02-29 03:34:20.572993,CABA,3010603,,,,,,,,,,0.0
C20047,JR1003,LinkedIn,10,Universitario,M,2024-01-29 03:34:20.572993,CABA,2957317,,,,,,,,,,0.0
C20048,JR1003,Referido,7,Universitario,M,2024-02-29 03:34:20.572993,CABA,3246656,,,,,,,,,,0.0
C20049,JR1003,Portal Empleo,5,Universitario,M,2024-02-01 03:34:20.572993,CABA,3004875,,,,,,,,,,0.0
C20050,JR1003,Agencia,2,Bootcamp,F,2024-02-25 03:34:20.572993,CABA,2929296,E30000,C20050,JR1003,2024-04-22 03:34:20.572993,91.0,20.0,E30000,JR1003,1.0,3.9653603634805656
C20051,JR1003,Portal Empleo,5,Universitario,M,2024-02-14 03:34:20.572993,CABA,2974743,,,,,,,,,,0.0
C20052,JR1004,LinkedIn,5,Bootcamp,M,2024-08-30 03:34:20.572993,CABA,3924016,,,,,,,,,,0.0
C20053,JR1004,Portal Empleo,3,Terciario,F,2024-09-17 03:34:20.572993,CABA,3982171,,,,,,,,,,0.0
C20054,JR1004,Portal Empleo,6,Posgrado,F,2024-09-16 03:34:20.572993,GBA Norte,3839860,,,,,,,,,,0.0
C20055,JR1004,LinkedIn,1,Posgrado,X,2024-09-15 03:34:20.572993,GBA Sur,4302211,,,,,,,,,,0.0
C20056,JR1004,LinkedIn,3,Universitario,F,2024-08-23 03:34:20.572993,CABA,3554666,,,,,,,,,,0.0
C20057,JR1004,LinkedIn,5,Bootcamp,F,2024-08-20 03:34:20.572993,GBA Sur,4108027,,,,,,,,,,0.0
C20058,JR1004,Portal Empleo,3,Universitario,M,2024-09-14 03:34:20.572993,Rosario,3705072,,,,,,,,,,0.0
C20059,JR1004,LinkedIn,3,Universitario,F,2024-08-27 03:34:20.572993,CABA,3866861,,,,,,,,,,0.0
C20060,JR1004,Referido,4,Universitario,F,2024-09-20 03:34:20.572993,GBA Sur,4201208,,,,,,,,,,0.0
C20061,JR1004,Orgánico,2,Universitario,F,2024-08-18 03:34:20.572993,GBA Sur,4045010,,,,,,,,,,0.0
C20062,JR1004,Agencia,7,Bootcamp,F,2024-08-29 03:34:20.572993,GBA Sur,3884071,,,,,,,,,,0.0
C20063,JR1004,Orgánico,1,Terciario,M,2024-09-22 03:34:20.572993,GBA Norte,3830683,,,,,,,,,,0.0
C20064,JR1004,Universidades,5,Universitario,M,2024-09-18 03:34:20.572993,Córdoba,3514346,,,,,,,,,,0.0
C20065,JR1004,LinkedIn,5,Posgrado,F,2024-08-28 03:34:20.572993,Córdoba,4260134,,,,,,,,,,0.0
C20066,JR1005,Portal Empleo,2,Terciario,F,2024-11-04 03:34:20.572993,CABA,3051221,,,,,,,,,,0.0
C20067,JR1005,LinkedIn,4,Terciario,F,2024-11-09 03:34:20.572993,GBA Sur,3140194,,,,,,,,,,0.0
C20068,JR1005,Agencia,2,Universitario,F,2024-11-30 03:34:20.572993,CABA,3342103,,,,,,,,,,0.0
C20069,JR1005,LinkedIn,7,Universitario,M,2024-11-18 03:34:20.572993,Córdoba,2951301,,,,,,,,,,0.0
C20070,JR1005,Universidades,1,Terciario,F,2024-11-13 03:34:20.572993,Rosario,2759908,,,,,,,,,,0.0
C20071,JR1005,Portal Empleo,2,Terciario,M,2024-11-27 03:34:20.572993,Córdoba,2859980,,,,,,,,,,0.0
C20072,JR1005,Agencia,1,Terciario,M,2024-11-11 03:34:20.572993,CABA,2755009,,,,,,,,,,0.0
C20073,JR1005,LinkedIn,1,Universitario,F,2024-11-20 03:34:20.572993,CABA,3423844,,,,,,,,,,0.0
C20074,JR1005,LinkedIn,8,Universitario,F,2024-11-27 03:34:20.572993,Rosario,2914245,,,,,,,,,,0.0
C20075,JR1006,Portal Empleo,5,Universitario,M,2023-12-02 03:34:20.572993,Córdoba,3430881,,,,,,,,,,0.0
C20076,JR1006,LinkedIn,4,Universitario,M,2023-11-28 03:34:20.572993,GBA Sur,3580662,,,,,,,,,,0.0
C20077,JR1006,Agencia,2,Bootcamp,M,2023-11-25 03:34:20.572993,Rosario,4668846,,,,,,,,,,0.0
C20078,JR1006,LinkedIn,6,Posgrado,M,2023-12-18 03:34:20.572993,GBA Norte,4107459,,,,,,,,,,0.0
C20079,JR1006,Portal Empleo,2,Bootcamp,M,2023-12-12 03:34:20.572993,Mendoza,4298637,,,,,,,,,,0.0
C20080,JR1006,LinkedIn,6,Universitario,M,2023-12-11 03:34:20.572993,Córdoba,3618494,,,,,,,,,,0.0
C20081,JR1006,Portal Empleo,2,Posgrado,M,2023-12-10 03:34:20.572993,CABA,4354821,,,,,,,,,,0.0
C20082,JR1006,Portal Empleo,2,Posgrado,M,2023-12-06 03:34:20.572993,CABA,3621100,,,,,,,,,,0.0
C20083,JR1006,LinkedIn,6,Universitario,F,2023-12-23 03:34:20.572993,CABA,3943182,,,,,,,,,,0.0
C20084,JR1006,LinkedIn,6,Terciario,M,2023-12-15 03:34:20.572993,CABA,4111372,,,,,,,,,,0.0
C20085,JR1006,LinkedIn,5,Universitario,F,2023-12-14 03:34:20.572993,GBA Norte,4025506,,,,,,,,,,0.0
C20086,JR1006,Referido,1,Terciario,F,2023-12-27 03:34:20.572993,CABA,4079776,,,,,,,,,,0.0
C20087,JR1006,Referido,3,Universitario,F,2023-11-22 03:34:20.572993,Rosario,3774703,,,,,,,,,,0.0
C20088,JR1007,Portal Empleo,4,Universitario,F,2024-06-10 03:34:20.572993,CABA,3683315,,,,,,,,,,0.0
C20089,JR1007,Referido,2,Universitario,M,2024-06-21 03:34:20.572993,CABA,3431678,,,,,,,,,,0.0
C20090,JR1007,Referido,7,Bootcamp,M,2024-06-17 03:34:20.572993,Rosario,4153352,,,,,,,,,,0.0
C20091,JR1007,LinkedIn,0,Universitario,F,2024-06-09 03:34:20.572993,CABA,3712248,,,,,,,,,,0.0
C20092,JR1007,LinkedIn,2,Universitario,M,2024-06-14 03:34:20.572993,CABA,3440780,,,,,,,,,,0.0
C20093,JR1007,LinkedIn,3,Universitario,M,2024-06-21 03:34:20.572993,CABA,4261607,,,,,,,,,,0.0
C20094,JR1007,Universidades,0,Universitario,M,2024-06-24 03:34:20.572993,CABA,3608873,,,,,,,,,,0.0
C20095,JR1007,Agencia,1,Universitario,F,2024-06-17 03:34:20.572993,CABA,3967208,,,,,,,,,,0.0
C20096,JR1007,LinkedIn,6,Posgrado,M,2024-07-12 03:34:20.572993,GBA Norte,3597814,,,,,,,,,,0.0
C20097,JR1007,Referido,4,Universitario,M,2024-07-04 03:34:20.572993,CABA,3770209,,,,,,,,,,0.0
C20098,JR1007,Agencia,8,Universitario,M,2024-06-10 03:34:20.572993,Córdoba,3944880,,,,,,,,,,0.0
C20099,JR1007,Referido,8,Universitario,F,2024-07-02 03:34:20.572993,CABA,3684435,,,,,,,,,,0.0
C20100,JR1007,LinkedIn,5,Posgrado,F,2024-06-14 03:34:20.572993,CABA,3899078,,,,,,,,,,0.0
C20101,JR1008,LinkedIn,5,Bootcamp,F,2024-04-22 03:34:20.572993,Córdoba,3839828,,,,,,,,,,0.0
C20102,JR1008,Referido,4,Universitario,F,2024-05-18 03:34:20.572993,Córdoba,3268409,,,,,,,,,,0.0
C20103,JR1008,Universidades,0,Universitario,M,2024-05-04 03:34:20.572993,CABA,3058010,,,,,,,,,,0.0
C20104,JR1008,Portal Empleo,1,Universitario,M,2024-05-08 03:34:20.572993,CABA,3409302,,,,,,,,,,0.0
C20105,JR1008,LinkedIn,4,Posgrado,M,2024-04-28 03:34:20.572993,CABA,3770834,,,,,,,,,,0.0
C20106,JR1008,LinkedIn,6,Universitario,F,2024-05-18 03:34:20.572993,GBA Norte,3384977,,,,,,,,,,0.0
C20107,JR1008,Agencia,5,Terciario,M,2024-05-01 03:34:20.572993,CABA,3844788,,,,,,,,,,0.0
C20108,JR1008,Agencia,2,Universitario,F,2024-04-11 03:34:20.572993,CABA,3686527,,,,,,,,,,0.0
C20109,JR1008,Portal Empleo,6,Universitario,F,2024-05-01 03:34:20.572993,Rosario,3704569,,,,,,,,,,0.0
C20110,JR1008,Portal Empleo,8,Universitario,M,2024-05-14 03:34:20.572993,Rosario,3489900,,,,,,,,,,0.0
C20111,JR1008,LinkedIn,6,Terciario,M,2024-05-13 03:34:20.572993,CABA,3350694,,,,,,,,,,0.0
C20112,JR1008,Agencia,6,Terciario,M,2024-04-14 03:34:20.572993,CABA,3470086,,,,,,,,,,0.0
C20113,JR1009,Agencia,3,Universitario,F,2023-12-11 03:34:20.572993,GBA Norte,3056528,,,,,,,,,,0.0
C20114,JR1009,LinkedIn,7,Bootcamp,F,2023-12-02 03:34:20.572993,CABA,3050378,,,,,,,,,,0.0
C20115,JR1009,Portal Empleo,4,Bootcamp,M,2023-11-17 03:34:20.572993,CABA,3076146,,,,,,,,,,0.0
C20116,JR1009,LinkedIn,5,Universitario,X,2023-12-05 03:34:20.572993,CABA,2978186,,,,,,,,,,0.0
C20117,JR1009,LinkedIn,5,Posgrado,F,2023-12-08 03:34:20.572993,CABA,2960677,,,,,,,,,,0.0
C20118,JR1009,LinkedIn,4,Universitario,M,2023-12-10 03:34:20.572993,CABA,3317556,,,,,,,,,,0.0
C20119,JR1009,LinkedIn,2,Universitario,F,2023-12-04 03:34:20.572993,GBA Sur,2832902,,,,,,,,,,0.0
C20120,JR1009,LinkedIn,4,Terciario,F,2023-11-27 03:34:20.572993,CABA,3006143,,,,,,,,,,0.0
C20121,JR1009,LinkedIn,6,Universitario,M,2023-11-20 03:34:20.572993,Rosario,3415337,,,,,,,,,,0.0
C20122,JR1009,Referido,3,Bootcamp,M,2023-12-10 03:34:20.572993,Córdoba,3020222,,,,,,,,,,0.0
C20123,JR1009,Referido,6,Posgrado,M,2023-12-14 03:34:20.572993,CABA,3260358,,,,,,,,,,0.0
C20124,JR1009,LinkedIn,6,Universitario,M,2023-11-28 03:34:20.572993,CABA,2925833,,,,,,,,,,0.0
C20125,JR1009,LinkedIn,3,Posgrado,M,2023-12-21 03:34:20.572993,Córdoba,2812072,,,,,,,,,,0.0
C20126,JR1009,Portal Empleo,7,Bootcamp,F,2023-12-22 03:34:20.572993,CABA,3478555,,,,,,,,,,0.0
C20127,JR1010,LinkedIn,3,Universitario,M,2024-06-21 03:34:20.572993,GBA Sur,4133301,,,,,,,,,,0.0
C20128,JR1010,LinkedIn,8,Posgrado,X,2024-06-06 03:34:20.572993,CABA,4487742,,,,,,,,,,0.0
C20129,JR1010,Agencia,5,Universitario,M,2024-06-10 03:34:20.572993,GBA Norte,5022964,,,,,,,,,,0.0
C20130,JR1010,Portal Empleo,4,Posgrado,F,2024-06-02 03:34:20.572993,Rosario,4084648,,,,,,,,,,0.0
C20131,JR1010,Agencia,2,Terciario,X,2024-06-11 03:34:20.572993,CABA,4709804,,,,,,,,,,0.0
C20132,JR1010,Referido,4,Terciario,F,2024-06-16 03:34:20.572993,CABA,4667371,,,,,,,,,,0.0
C20133,JR1010,LinkedIn,3,Universitario,M,2024-06-29 03:34:20.572993,CABA,4486704,,,,,,,,,,0.0
C20134,JR1010,Portal Empleo,1,Terciario,F,2024-06-21 03:34:20.572993,CABA,5106475,,,,,,,,,,0.0
C20135,JR1010,LinkedIn,3,Terciario,F,2024-07-01 03:34:20.572993,Córdoba,4577623,,,,,,,,,,0.0
C20136,JR1010,Referido,2,Universitario,F,2024-06-14 03:34:20.572993,CABA,4525149,,,,,,,,,,0.0
C20137,JR1010,LinkedIn,5,Posgrado,M,2024-06-08 03:34:20.572993,CABA,4191851,,,,,,,,,,0.0
C20138,JR1010,Agencia,7,Universitario,M,2024-05-23 03:34:20.572993,CABA,4463627,,,,,,,,,,0.0
C20139,JR1010,LinkedIn,1,Posgrado,M,2024-06-05 03:34:20.572993,CABA,4696448,,,,,,,,,,0.0
C20140,JR1010,Orgánico,8,Posgrado,M,2024-06-30 03:34:20.572993,Mendoza,4780481,,,,,,,,,,0.0
C20141,JR1010,Agencia,4,Universitario,M,2024-06-09 03:34:20.572993,GBA Norte,4734085,,,,,,,,,,0.0
C20142,JR1010,Referido,2,Universitario,M,2024-06-07 03:34:20.572993,CABA,3907047,,,,,,,,,,0.0
C20143,JR1011,Portal Empleo,6,Terciario,M,2024-08-28 03:34:20.572993,Mendoza,2663213,,,,,,,,,,0.0
C20144,JR1011,Portal Empleo,3,Universitario,F,2024-08-27 03:34:20.572993,GBA Sur,2507417,,,,,,,,,,0.0
C20145,JR1011,Agencia,4,Universitario,F,2024-09-01 03:34:20.572993,GBA Norte,2368360,,,,,,,,,,0.0
C20146,JR1011,Referido,3,Terciario,M,2024-08-20 03:34:20.572993,CABA,2548546,,,,,,,,,,0.0
C20147,JR1011,Agencia,2,Universitario,F,2024-09-08 03:34:20.572993,CABA,2581776,,,,,,,,,,0.0
C20148,JR1011,Referido,6,Universitario,M,2024-08-20 03:34:20.572993,CABA,2473013,,,,,,,,,,0.0
C20149,JR1011,Orgánico,3,Universitario,F,2024-08-24 03:34:20.572993,Córdoba,2676064,,,,,,,,,,0.0
C20150,JR1011,Referido,0,Universitario,M,2024-08-29 03:34:20.572993,Córdoba,2824312,,,,,,,,,,0.0
C20151,JR1011,Referido,5,Bootcamp,F,2024-08-21 03:34:20.572993,CABA,2772602,,,,,,,,,,0.0
C20152,JR1012,Agencia,1,Terciario,M,2025-02-26 03:34:20.572993,Córdoba,2300151,,,,,,,,,,0.0
C20153,JR1012,Agencia,1,Terciario,F,2025-02-19 03:34:20.572993,CABA,2534342,,,,,,,,,,0.0
C20154,JR1012,Referido,7,Universitario,M,2025-03-02 03:34:20.572993,CABA,2263543,,,,,,,,,,0.0
C20155,JR1012,LinkedIn,1,Terciario,M,2025-03-13 03:34:20.572993,CABA,2672364,,,,,,,,,,0.0
C20156,JR1012,Referido,0,Posgrado,F,2025-03-23 03:34:20.572993,CABA,2418887,,,,,,,,,,0.0
C20157,JR1012,Universidades,6,Universitario,F,2025-03-02 03:34:20.572993,Córdoba,2540730,,,,,,,,,,0.0
C20158,JR1012,Portal Empleo,3,Universitario,M,2025-03-09 03:34:20.572993,GBA Norte,2294664,,,,,,,,,,0.0
C20159,JR1012,Agencia,3,Universitario,M,2025-03-24 03:34:20.572993,CABA,2336760,,,,,,,,,,0.0
C20160,JR1012,LinkedIn,3,Universitario,F,2025-02-25 03:34:20.572993,CABA,2399189,,,,,,,,,,0.0
C20161,JR1012,Referido,5,Universitario,M,2025-03-07 03:34:20.572993,GBA Norte,2358958,E30001,C20161,JR1012,2025-05-17 03:34:20.572993,90.0,21.0,E30001,JR1012,1.0,4.536005109484797
C20162,JR1012,Portal Empleo,2,Terciario,F,2025-03-19 03:34:20.572993,GBA Sur,2308999,,,,,,,,,,0.0
C20163,JR1012,Agencia,8,Terciario,F,2025-02-24 03:34:20.572993,CABA,2136623,,,,,,,,,,0.0
C20164,JR1012,LinkedIn,0,Universitario,M,2025-03-18 03:34:20.572993,Mendoza,2269703,,,,,,,,,,0.0
C20165,JR1012,Agencia,5,Terciario,F,2025-03-27 03:34:20.572993,CABA,2176297,,,,,,,,,,0.0
C20166,JR1012,Referido,6,Posgrado,M,2025-03-18 03:34:20.572993,GBA Sur,2064778,,,,,,,,,,0.0
C20167,JR1012,LinkedIn,2,Universitario,F,2025-03-15 03:34:20.572993,GBA Norte,2416846,,,,,,,,,,0.0
C20168,JR1012,LinkedIn,1,Terciario,M,2025-02-26 03:34:20.572993,Rosario,2238980,,,,,,,,,,0.0
C20169,JR1012,LinkedIn,7,Universitario,M,2025-03-23 03:34:20.572993,CABA,2607533,,,,,,,,,,0.0
C20170,JR1012,Referido,2,Universitario,M,2025-02-19 03:34:20.572993,GBA Norte,2248255,,,,,,,,,,0.0
C20171,JR1013,LinkedIn,2,Terciario,F,2024-03-15 03:34:20.572993,GBA Norte,4319309,,,,,,,,,,0.0
C20172,JR1013,LinkedIn,6,Terciario,F,2024-03-30 03:34:20.572993,Rosario,5004137,,,,,,,,,,0.0
C20173,JR1013,Agencia,4,Universitario,M,2024-03-29 03:34:20.572993,Córdoba,4841351,,,,,,,,,,0.0
C20174,JR1013,LinkedIn,0,Universitario,F,2024-03-26 03:34:20.572993,CABA,4987217,,,,,,,,,,0.0
C20175,JR1013,LinkedIn,8,Posgrado,F,2024-03-24 03:34:20.572993,Mendoza,4541343,,,,,,,,,,0.0
C20176,JR1013,Referido,3,Posgrado,M,2024-04-03 03:34:20.572993,Córdoba,4047829,,,,,,,,,,0.0
C20177,JR1013,Referido,3,Terciario,F,2024-03-31 03:34:20.572993,CABA,4855272,,,,,,,,,,0.0
C20178,JR1013,Agencia,5,Terciario,M,2024-03-10 03:34:20.572993,CABA,4957783,,,,,,,,,,0.0
C20179,JR1013,Referido,6,Universitario,M,2024-04-08 03:34:20.572993,Rosario,4528088,,,,,,,,,,0.0
C20180,JR1013,Agencia,9,Posgrado,M,2024-03-26 03:34:20.572993,GBA Sur,5209047,,,,,,,,,,0.0
C20181,JR1013,Portal Empleo,0,Bootcamp,M,2024-03-19 03:34:20.572993,CABA,4827646,,,,,,,,,,0.0
C20182,JR1013,LinkedIn,6,Terciario,M,2024-03-08 03:34:20.572993,CABA,4638027,,,,,,,,,,0.0
C20183,JR1014,LinkedIn,6,Universitario,F,2024-08-30 03:34:20.572993,CABA,3203378,,,,,,,,,,0.0
C20184,JR1014,Referido,4,Universitario,F,2024-09-15 03:34:20.572993,CABA,2851777,,,,,,,,,,0.0
C20185,JR1014,LinkedIn,6,Posgrado,M,2024-08-27 03:34:20.572993,Rosario,3089248,,,,,,,,,,0.0
C20186,JR1014,Portal Empleo,6,Terciario,M,2024-09-10 03:34:20.572993,CABA,2743341,,,,,,,,,,0.0
C20187,JR1014,Referido,1,Universitario,F,2024-08-17 03:34:20.572993,GBA Sur,3101647,,,,,,,,,,0.0
C20188,JR1014,LinkedIn,8,Universitario,F,2024-08-08 03:34:20.572993,CABA,3103486,,,,,,,,,,0.0
C20189,JR1014,LinkedIn,0,Terciario,M,2024-08-21 03:34:20.572993,GBA Norte,3110554,,,,,,,,,,0.0
C20190,JR1014,LinkedIn,1,Universitario,M,2024-08-21 03:34:20.572993,CABA,3024244,,,,,,,,,,0.0
C20191,JR1014,Referido,3,Terciario,F,2024-08-11 03:34:20.572993,CABA,2832063,,,,,,,,,,0.0
C20192,JR1014,Referido,9,Universitario,M,2024-09-15 03:34:20.572993,Córdoba,3544863,,,,,,,,,,0.0
C20193,JR1014,Referido,3,Universitario,M,2024-08-22 03:34:20.572993,Córdoba,2833927,,,,,,,,,,0.0
C20194,JR1014,LinkedIn,4,Posgrado,M,2024-08-27 03:34:20.572993,CABA,2789414,,,,,,,,,,0.0
C20195,JR1014,Portal Empleo,8,Universitario,F,2024-08-15 03:34:20.572993,GBA Sur,3037902,,,,,,,,,,0.0
C20196,JR1014,Agencia,3,Terciario,F,2024-08-13 03:34:20.572993,CABA,3030042,,,,,,,,,,0.0
C20197,JR1014,LinkedIn,1,Universitario,M,2024-09-02 03:34:20.572993,CABA,3107989,,,,,,,,,,0.0
C20198,JR1015,Referido,3,Universitario,M,2024-05-07 03:34:20.572993,CABA,4418381,,,,,,,,,,0.0
C20199,JR1015,Universidades,7,Universitario,M,2024-04-22 03:34:20.572993,GBA Norte,3865722,,,,,,,,,,0.0
C20200,JR1015,LinkedIn,4,Universitario,M,2024-05-30 03:34:20.572993,CABA,4607780,,,,,,,,,,0.0
C20201,JR1015,Referido,9,Universitario,F,2024-05-16 03:34:20.572993,Rosario,4074193,,,,,,,,,,0.0
C20202,JR1015,LinkedIn,6,Universitario,M,2024-04-28 03:34:20.572993,GBA Norte,3673787,,,,,,,,,,0.0
C20203,JR1015,Portal Empleo,2,Terciario,M,2024-05-30 03:34:20.572993,CABA,4327361,,,,,,,,,,0.0
C20204,JR1015,LinkedIn,4,Universitario,M,2024-05-06 03:34:20.572993,Córdoba,4128718,,,,,,,,,,0.0
C20205,JR1015,Orgánico,2,Universitario,M,2024-05-10 03:34:20.572993,CABA,4230189,,,,,,,,,,0.0
C20206,JR1015,Portal Empleo,2,Posgrado,M,2024-05-22 03:34:20.572993,CABA,4461470,,,,,,,,,,0.0
C20207,JR1015,Agencia,15,Universitario,M,2024-05-22 03:34:20.572993,CABA,4593406,,,,,,,,,,0.0
C20208,JR1015,Portal Empleo,7,Terciario,M,2024-05-25 03:34:20.572993,CABA,3890616,,,,,,,,,,0.0
C20209,JR1015,Referido,6,Universitario,M,2024-05-05 03:34:20.572993,CABA,3428736,,,,,,,,,,0.0
C20210,JR1015,Referido,2,Universitario,F,2024-05-22 03:34:20.572993,CABA,4064789,,,,,,,,,,0.0
C20211,JR1015,Agencia,8,Terciario,M,2024-05-20 03:34:20.572993,Córdoba,3989453,,,,,,,,,,0.0
C20212,JR1016,Orgánico,7,Posgrado,M,2025-03-02 03:34:20.572993,CABA,1340652,,,,,,,,,,0.0
C20213,JR1016,Referido,9,Universitario,M,2025-03-07 03:34:20.572993,GBA Norte,1199796,E30002,C20213,JR1016,2025-05-16 03:34:20.572993,93.0,17.0,E30002,JR1016,1.0,3.823389002596452
C20214,JR1016,Orgánico,9,Universitario,M,2025-02-13 03:34:20.572993,Rosario,1322668,,,,,,,,,,0.0
C20215,JR1016,Referido,0,Bootcamp,M,2025-03-04 03:34:20.572993,GBA Sur,1284137,,,,,,,,,,0.0
C20216,JR1016,Referido,1,Universitario,M,2025-02-27 03:34:20.572993,GBA Norte,1256342,,,,,,,,,,0.0
C20217,JR1016,Referido,1,Universitario,F,2025-03-23 03:34:20.572993,Rosario,1184492,,,,,,,,,,0.0
